Language,Size,Characteristic,Repetition,Time_ms
Python,100000,random,1,30.538922
Python,100000,random,2,20.055781
Python,100000,random,3,14.438001
Python,100000,random,4,14.870617
Python,100000,random,5,14.785026
Python,100000,random,6,21.925284
Python,100000,random,7,28.271005
Python,100000,random,8,17.249484
Python,100000,random,9,19.906776
Python,100000,random,10,30.136459
Python,100000,random,11,18.280303
Python,100000,random,12,19.348965
Python,100000,random,13,19.994449
Python,100000,random,14,19.784442
Python,100000,random,15,27.61983
Python,100000,random,16,40.226648
Python,100000,random,17,41.098281
Python,100000,random,18,45.858817
Python,100000,random,19,26.313105
Python,100000,random,20,17.527521
Python,100000,random,21,14.688085
Python,100000,random,22,14.37103
Python,100000,random,23,20.562206
Python,100000,random,24,22.356803
Python,100000,random,25,20.866252
Python,100000,random,26,18.158749
Python,100000,random,27,16.005522
Python,100000,random,28,16.641096
Python,100000,random,29,15.905481
Python,100000,random,30,12.917016
Python,100000,reversed,1,16.45306
Python,100000,reversed,2,15.953611
Python,100000,reversed,3,15.063927
Python,100000,reversed,4,12.657317
Python,100000,reversed,5,11.679051
Python,100000,reversed,6,11.591734
Python,100000,reversed,7,14.476596
Python,100000,reversed,8,12.980909
Python,100000,reversed,9,14.028116
Python,100000,reversed,10,19.762916
Python,100000,reversed,11,18.900709
Python,100000,reversed,12,13.940282
Python,100000,reversed,13,14.030518
Python,100000,reversed,14,11.645295
Python,100000,reversed,15,12.221542
Python,100000,reversed,16,12.358388
Python,100000,reversed,17,12.459987
Python,100000,reversed,18,12.880968
Python,100000,reversed,19,8.541746
Python,100000,reversed,20,8.225778
Python,100000,reversed,21,7.18012
Python,100000,reversed,22,8.517854
Python,100000,reversed,23,7.910133
Python,100000,reversed,24,7.588158
Python,100000,reversed,25,7.975498
Python,100000,reversed,26,7.954779
Python,100000,reversed,27,9.549475
Python,100000,reversed,28,10.570626
Python,100000,reversed,29,12.981115
Python,100000,reversed,30,10.131728
Python,100000,nearly_sorted,1,6.877457
Python,100000,nearly_sorted,2,8.418568
Python,100000,nearly_sorted,3,6.453865
Python,100000,nearly_sorted,4,6.209418
Python,100000,nearly_sorted,5,6.506531
Python,100000,nearly_sorted,6,7.012323
Python,100000,nearly_sorted,7,6.273781
Python,100000,nearly_sorted,8,5.046621
Python,100000,nearly_sorted,9,5.568072
Python,100000,nearly_sorted,10,6.853855
Python,100000,nearly_sorted,11,8.048022
Python,100000,nearly_sorted,12,6.898333
Python,100000,nearly_sorted,13,10.396499
Python,100000,nearly_sorted,14,7.245582
Python,100000,nearly_sorted,15,6.037775
Python,100000,nearly_sorted,16,6.429973
Python,100000,nearly_sorted,17,6.373203
Python,100000,nearly_sorted,18,5.790475
Python,100000,nearly_sorted,19,6.536221
Python,100000,nearly_sorted,20,5.321454
Python,100000,nearly_sorted,21,6.306792
Python,100000,nearly_sorted,22,5.314591
Python,100000,nearly_sorted,23,6.41881
Python,100000,nearly_sorted,24,5.37515
Python,100000,nearly_sorted,25,6.461152
Python,100000,nearly_sorted,26,8.136926
Python,100000,nearly_sorted,27,5.365947
Python,100000,nearly_sorted,28,5.356226
Python,100000,nearly_sorted,29,5.393284
Python,100000,nearly_sorted,30,4.897253
Python,500000,random,1,163.081244
Python,500000,random,2,228.937879
Python,500000,random,3,194.564242
Python,500000,random,4,218.80773
Python,500000,random,5,164.675443
Python,500000,random,6,207.962762
Python,500000,random,7,246.770987
Python,500000,random,8,185.44344
Python,500000,random,9,166.311853
Python,500000,random,10,291.170387
Python,500000,random,11,227.638438
Python,500000,random,12,201.723383
Python,500000,random,13,180.787441
Python,500000,random,14,244.370814
Python,500000,random,15,206.007848
Python,500000,random,16,154.776383
Python,500000,random,17,185.034677
Python,500000,random,18,212.610489
Python,500000,random,19,275.125043
Python,500000,random,20,191.470409
Python,500000,random,21,252.399278
Python,500000,random,22,212.328519
Python,500000,random,23,214.808275
Python,500000,random,24,250.437791
Python,500000,random,25,247.592079
Python,500000,random,26,213.08287
Python,500000,random,27,207.463724
Python,500000,random,28,197.754672
Python,500000,random,29,206.040373
Python,500000,random,30,225.076569
Python,500000,reversed,1,62.521976
Python,500000,reversed,2,57.401571
Python,500000,reversed,3,50.318587
Python,500000,reversed,4,58.243174
Python,500000,reversed,5,44.332848
Python,500000,reversed,6,52.962671
Python,500000,reversed,7,64.065845
Python,500000,reversed,8,64.710889
Python,500000,reversed,9,63.96878
Python,500000,reversed,10,48.286736
Python,500000,reversed,11,41.014972
Python,500000,reversed,12,47.587462
Python,500000,reversed,13,41.578884
Python,500000,reversed,14,45.876687
Python,500000,reversed,15,43.051153
Python,500000,reversed,16,46.378903
Python,500000,reversed,17,43.868474
Python,500000,reversed,18,46.307202
Python,500000,reversed,19,46.086936
Python,500000,reversed,20,45.615367
Python,500000,reversed,21,52.893378
Python,500000,reversed,22,47.830917
Python,500000,reversed,23,42.038525
Python,500000,reversed,24,46.135385
Python,500000,reversed,25,41.486944
Python,500000,reversed,26,45.065849
Python,500000,reversed,27,42.375297
Python,500000,reversed,28,42.092959
Python,500000,reversed,29,57.797068
Python,500000,reversed,30,43.651057
Python,500000,nearly_sorted,1,32.595886
Python,500000,nearly_sorted,2,33.643544
Python,500000,nearly_sorted,3,33.090886
Python,500000,nearly_sorted,4,33.169999
Python,500000,nearly_sorted,5,34.51066
Python,500000,nearly_sorted,6,34.746605
Python,500000,nearly_sorted,7,35.669409
Python,500000,nearly_sorted,8,32.464331
Python,500000,nearly_sorted,9,35.805343
Python,500000,nearly_sorted,10,34.176009
Python,500000,nearly_sorted,11,44.551917
Python,500000,nearly_sorted,12,44.479822
Python,500000,nearly_sorted,13,36.704129
Python,500000,nearly_sorted,14,37.023069
Python,500000,nearly_sorted,15,35.353681
Python,500000,nearly_sorted,16,33.684995
Python,500000,nearly_sorted,17,32.529219
Python,500000,nearly_sorted,18,30.389908
Python,500000,nearly_sorted,19,31.645254
Python,500000,nearly_sorted,20,54.963127
Python,500000,nearly_sorted,21,55.150658
Python,500000,nearly_sorted,22,32.747884
Python,500000,nearly_sorted,23,42.803545
Python,500000,nearly_sorted,24,39.847884
Python,500000,nearly_sorted,25,46.26713
Python,500000,nearly_sorted,26,39.91397
Python,500000,nearly_sorted,27,39.330037
Python,500000,nearly_sorted,28,39.376095
Python,500000,nearly_sorted,29,33.732247
Python,500000,nearly_sorted,30,32.513971
Python,1000000,random,1,383.170247
Python,1000000,random,2,531.426929
Python,1000000,random,3,464.096502
Python,1000000,random,4,453.974844
Python,1000000,random,5,491.004025
Python,1000000,random,6,572.465686
Python,1000000,random,7,610.166658
Python,1000000,random,8,404.90215
Python,1000000,random,9,392.594043
Python,1000000,random,10,417.348746
Python,1000000,random,11,510.934104
Python,1000000,random,12,450.761664
Python,1000000,random,13,395.080474
Python,1000000,random,14,469.434178
Python,1000000,random,15,390.199205
Python,1000000,random,16,458.201112
Python,1000000,random,17,532.983217
Python,1000000,random,18,474.547644
Python,1000000,random,19,440.173656
Python,1000000,random,20,475.505938
Python,1000000,random,21,492.71888
Python,1000000,random,22,497.869945
Python,1000000,random,23,427.078971
Python,1000000,random,24,370.720971
Python,1000000,random,25,410.458658
Python,1000000,random,26,408.871573
Python,1000000,random,27,481.06343
Python,1000000,random,28,411.337865
Python,1000000,random,29,420.93662
Python,1000000,random,30,388.867516
Python,1000000,reversed,1,91.014169
Python,1000000,reversed,2,100.076202
Python,1000000,reversed,3,97.758761
Python,1000000,reversed,4,115.258115
Python,1000000,reversed,5,103.546889
Python,1000000,reversed,6,104.091851
Python,1000000,reversed,7,116.718566
Python,1000000,reversed,8,109.780566
Python,1000000,reversed,9,96.962365
Python,1000000,reversed,10,116.551716
Python,1000000,reversed,11,93.930514
Python,1000000,reversed,12,118.211108
Python,1000000,reversed,13,104.005582
Python,1000000,reversed,14,110.735152
Python,1000000,reversed,15,105.426277
Python,1000000,reversed,16,100.896445
Python,1000000,reversed,17,119.414711
Python,1000000,reversed,18,177.761102
Python,1000000,reversed,19,133.223793
Python,1000000,reversed,20,119.34404
Python,1000000,reversed,21,112.764794
Python,1000000,reversed,22,108.859935
Python,1000000,reversed,23,99.962711
Python,1000000,reversed,24,103.901616
Python,1000000,reversed,25,94.019194
Python,1000000,reversed,26,97.563745
Python,1000000,reversed,27,110.129221
Python,1000000,reversed,28,112.399856
Python,1000000,reversed,29,107.63658
Python,1000000,reversed,30,100.875059
Python,1000000,nearly_sorted,1,82.783184
Python,1000000,nearly_sorted,2,77.141431
Python,1000000,nearly_sorted,3,87.802968
Python,1000000,nearly_sorted,4,69.671631
Python,1000000,nearly_sorted,5,69.684998
Python,1000000,nearly_sorted,6,74.208249
Python,1000000,nearly_sorted,7,70.769486
Python,1000000,nearly_sorted,8,74.956601
Python,1000000,nearly_sorted,9,76.064178
Python,1000000,nearly_sorted,10,69.573713
Python,1000000,nearly_sorted,11,71.331401
Python,1000000,nearly_sorted,12,74.168106
Python,1000000,nearly_sorted,13,67.135156
Python,1000000,nearly_sorted,14,65.450158
Python,1000000,nearly_sorted,15,72.124937
Python,1000000,nearly_sorted,16,83.732407
Python,1000000,nearly_sorted,17,109.683556
Python,1000000,nearly_sorted,18,137.423418
Python,1000000,nearly_sorted,19,96.182679
Python,1000000,nearly_sorted,20,74.132565
Python,1000000,nearly_sorted,21,67.747186
Python,1000000,nearly_sorted,22,63.290628
Python,1000000,nearly_sorted,23,76.165568
Python,1000000,nearly_sorted,24,64.749377
Python,1000000,nearly_sorted,25,68.709745
Python,1000000,nearly_sorted,26,77.46975
Python,1000000,nearly_sorted,27,79.129133
Python,1000000,nearly_sorted,28,69.743341
Python,1000000,nearly_sorted,29,71.371997
Python,1000000,nearly_sorted,30,78.949636
Python,2000000,random,1,923.267758
Python,2000000,random,2,1013.253779
Python,2000000,random,3,847.873767
Python,2000000,random,4,857.288699
Python,2000000,random,5,923.03065
Python,2000000,random,6,969.415515
Python,2000000,random,7,1040.152709
Python,2000000,random,8,856.97308
Python,2000000,random,9,880.156821
Python,2000000,random,10,972.315206
Python,2000000,random,11,914.658434
Python,2000000,random,12,862.90759
Python,2000000,random,13,892.292209
Python,2000000,random,14,985.850321
Python,2000000,random,15,1060.400356
Python,2000000,random,16,939.206061
Python,2000000,random,17,1037.632768
Python,2000000,random,18,1118.397238
Python,2000000,random,19,979.754722
Python,2000000,random,20,990.916187
Python,2000000,random,21,1198.63613
Python,2000000,random,22,1042.640362
Python,2000000,random,23,1118.855526
Python,2000000,random,24,972.695798
Python,2000000,random,25,1264.879435
Python,2000000,random,26,1010.60141
Python,2000000,random,27,987.567959
Python,2000000,random,28,916.73317
Python,2000000,random,29,1006.060198
Python,2000000,random,30,1165.551847
Python,2000000,reversed,1,243.344091
Python,2000000,reversed,2,318.223678
Python,2000000,reversed,3,211.95544
Python,2000000,reversed,4,211.249499
Python,2000000,reversed,5,176.855434
Python,2000000,reversed,6,261.18244
Python,2000000,reversed,7,255.043921
Python,2000000,reversed,8,190.919995
Python,2000000,reversed,9,198.533054
Python,2000000,reversed,10,201.59034
Python,2000000,reversed,11,191.608392
Python,2000000,reversed,12,212.103764
Python,2000000,reversed,13,189.864448
Python,2000000,reversed,14,175.389038
Python,2000000,reversed,15,192.479081
Python,2000000,reversed,16,202.677656
Python,2000000,reversed,17,203.245144
Python,2000000,reversed,18,213.969198
Python,2000000,reversed,19,229.765957
Python,2000000,reversed,20,283.875789
Python,2000000,reversed,21,191.015462
Python,2000000,reversed,22,256.190859
Python,2000000,reversed,23,246.11067
Python,2000000,reversed,24,193.74025
Python,2000000,reversed,25,182.153179
Python,2000000,reversed,26,187.674453
Python,2000000,reversed,27,180.054766
Python,2000000,reversed,28,206.280373
Python,2000000,reversed,29,169.785187
Python,2000000,reversed,30,194.828067
Python,2000000,nearly_sorted,1,152.189633
Python,2000000,nearly_sorted,2,138.597743
Python,2000000,nearly_sorted,3,157.379894
Python,2000000,nearly_sorted,4,183.155454
Python,2000000,nearly_sorted,5,258.716689
Python,2000000,nearly_sorted,6,196.097969
Python,2000000,nearly_sorted,7,179.38148
Python,2000000,nearly_sorted,8,182.872393
Python,2000000,nearly_sorted,9,170.387048
Python,2000000,nearly_sorted,10,177.005739
Python,2000000,nearly_sorted,11,151.534681
Python,2000000,nearly_sorted,12,189.510506
Python,2000000,nearly_sorted,13,163.172756
Python,2000000,nearly_sorted,14,158.83312
Python,2000000,nearly_sorted,15,168.224548
Python,2000000,nearly_sorted,16,183.664941
Python,2000000,nearly_sorted,17,157.119873
Python,2000000,nearly_sorted,18,158.053505
Python,2000000,nearly_sorted,19,185.46185
Python,2000000,nearly_sorted,20,173.402349
Python,2000000,nearly_sorted,21,207.000403
Python,2000000,nearly_sorted,22,145.889711
Python,2000000,nearly_sorted,23,148.860891
Python,2000000,nearly_sorted,24,143.495458
Python,2000000,nearly_sorted,25,152.225752
Python,2000000,nearly_sorted,26,155.078796
Python,2000000,nearly_sorted,27,147.337498
Python,2000000,nearly_sorted,28,177.105071
Python,2000000,nearly_sorted,29,161.341296
Python,2000000,nearly_sorted,30,137.174953
